combo,fold,max_depth,min_samples_leaf,ccp_alpha,cv_acc,cv_macro_f1,fit_seconds
24,2,20,1,0.0,0.7251428571428571,0.7252742968876631,2.158843994140625
24,3,20,1,0.0,0.7224921406116033,0.7225893478428839,2.2530879974365234
24,4,20,1,0.0,0.7307802229208346,0.7308710069915912,2.302583932876587
24,5,20,1,0.0,0.7327807945127179,0.7334743632066479,2.14808988571167
25,1,20,1,0.001,0.7588571428571429,0.7600857224058843,2.130376100540161
25,2,20,1,0.001,0.744,0.7357219682434248,2.161407947540283
25,3,20,1,0.001,0.7510717347813661,0.7514180684971082,2.2619211673736572
25,4,20,1,0.001,0.7387825092883681,0.7382410470454777,2.2573750019073486
25,5,20,1,0.001,0.7450700200057159,0.7451984145685541,2.1472368240356445
26,1,20,1,0.005,0.7385714285714285,0.7339989273946173,2.1026499271392822
26,2,20,1,0.005,0.7311428571428571,0.7228577021808882,2.172895908355713
26,3,20,1,0.005,0.727350671620463,0.7236624041931564,2.25339412689209
26,4,20,1,0.005,0.7216347527865105,0.7160762790800965,2.1973390579223633
26,5,20,1,0.005,0.7362103458130894,0.733203531590051,2.117227077484131
27,1,20,5,0.0,0.7214285714285714,0.7217296660075424,1.9296338558197021
27,2,20,5,0.0,0.7331428571428571,0.7333721460307512,2.061614751815796
27,3,20,5,0.0,0.7359245498713918,0.7368364353326287,2.0584633350372314
27,4,20,5,0.0,0.7230637324949986,0.7232271550229405,1.9462640285491943
27,5,20,5,0.0,0.7313518148042297,0.7323766267836488,1.9888949394226074
28,1,20,5,0.001,0.7588571428571429,0.7600857224058843,1.913264274597168
28,2,20,5,0.001,0.744,0.7357219682434248,1.9990050792694092
28,3,20,5,0.001,0.7510717347813661,0.7514180684971082,2.0618438720703125
28,4,20,5,0.001,0.7387825092883681,0.7382410470454777,1.9490389823913574
28,5,20,5,0.001,0.7450700200057159,0.7451984145685541,1.9735820293426514
29,1,20,5,0.005,0.7385714285714285,0.7339989273946173,1.9403748512268066
29,2,20,5,0.005,0.7311428571428571,0.7228577021808882,2.014673948287964
29,3,20,5,0.005,0.727350671620463,0.7236624041931564,2.1265969276428223
29,4,20,5,0.005,0.7216347527865105,0.7160762790800965,1.9525697231292725
29,5,20,5,0.005,0.7362103458130894,0.733203531590051,1.9742279052734375
30,1,20,10,0.0,0.738,0.7381944747638975,1.7811229228973389
30,2,20,10,0.0,0.7385714285714285,0.738803987433649,2.0276939868927
30,3,20,10,0.0,0.734209774221206,0.7353425658114854,1.9031169414520264
30,4,20,10,0.0,0.731923406687625,0.7324774851925767,1.8029241561889648
30,5,20,10,0.0,0.7262074878536725,0.727082004178914,1.8220531940460205
31,1,20,10,0.001,0.7588571428571429,0.7600857224058843,1.7863543033599854
31,2,20,10,0.001,0.744,0.7357219682434248,1.9186680316925049
31,3,20,10,0.001,0.7510717347813661,0.7514180684971082,2.208235025405884
31,4,20,10,0.001,0.7387825092883681,0.7382410470454777,2.0887978076934814
31,5,20,10,0.001,0.7450700200057159,0.7451984145685541,1.96219801902771
32,1,20,10,0.005,0.7385714285714285,0.7339989273946173,1.85294508934021
32,2,20,10,0.005,0.7311428571428571,0.7228577021808882,1.922569990158081
32,3,20,10,0.005,0.727350671620463,0.7236624041931564,1.9164049625396729
32,4,20,10,0.005,0.7216347527865105,0.7160762790800965,1.9068858623504639
32,5,20,10,0.005,0.7362103458130894,0.733203531590051,1.9015998840332031
33,1,20,20,0.0,0.748,0.7484381910526305,1.7152187824249268
33,2,20,20,0.0,0.7448571428571429,0.7452874182232042,1.779219388961792
33,3,20,20,0.0,0.7433552443555301,0.7443407039473875,1.6968228816986084
33,4,20,20,0.0,0.7339239782795084,0.7343150220162369,1.6445989608764648
33,5,20,20,0.0,0.7467847956559017,0.7478896294532376,1.6850500106811523
34,1,20,20,0.001,0.7588571428571429,0.7600857224058843,1.6515579223632812
34,2,20,20,0.001,0.7434285714285714,0.7351541887813753,1.753849983215332
34,3,20,20,0.001,0.7507859388396685,0.7513281596716403,1.6991407871246338
34,4,20,20,0.001,0.7382109174049728,0.7376823321669188,1.6480040550231934
34,5,20,20,0.001,0.7444984281223207,0.7446400822269298,1.6826961040496826
35,1,20,20,0.005,0.7385714285714285,0.7339989273946173,1.6556940078735352
35,2,20,20,0.005,0.7311428571428571,0.7228577021808882,1.7599408626556396
35,3,20,20,0.005,0.727350671620463,0.7236624041931564,1.7300779819488525
35,4,20,20,0.005,0.7216347527865105,0.7160762790800965,1.64499831199646
35,5,20,20,0.005,0.7362103458130894,0.733203531590051,1.7325959205627441
36,1,30,1,0.0,0.7242857142857143,0.72433016500194,2.3716659545898438
36,2,30,1,0.0,0.7217142857142858,0.7221292086036128,2.5195159912109375
36,3,30,1,0.0,0.7199199771363247,0.7205148537543267,2.670893669128418
36,4,30,1,0.0,0.7147756501857674,0.7144292361450422,2.6557209491729736
36,5,30,1,0.0,0.7299228350957416,0.7302495806306867,2.4868218898773193
37,1,30,1,0.001,0.7588571428571429,0.7600857224058843,2.465628147125244
37,2,30,1,0.001,0.744,0.7357219682434248,2.5253050327301025
37,3,30,1,0.001,0.7510717347813661,0.7514180684971082,2.6724607944488525
37,4,30,1,0.001,0.7387825092883681,0.7382410470454777,2.6303582191467285
37,5,30,1,0.001,0.7450700200057159,0.7451984145685541,2.4686930179595947
38,1,30,1,0.005,0.7385714285714285,0.7339989273946173,2.3827450275421143
38,2,30,1,0.005,0.7311428571428571,0.7228577021808882,2.6442620754241943
38,3,30,1,0.005,0.727350671620463,0.7236624041931564,2.72245717048645
38,4,30,1,0.005,0.7216347527865105,0.7160762790800965,2.7644007205963135
38,5,30,1,0.005,0.7362103458130894,0.733203531590051,2.5800540447235107
39,1,30,5,0.0,0.7265714285714285,0.7268441397523513,2.134284019470215
39,2,30,5,0.0,0.7348571428571429,0.7352015096790128,2.357424020767212
39,3,30,5,0.0,0.7244927122034867,0.7254549524075934,2.39884614944458
39,4,30,5,0.0,0.7227779365533009,0.7227034243491731,2.445120096206665
39,5,30,5,0.0,0.7270648756787653,0.7275924056161376,2.281973123550415
40,1,30,5,0.001,0.7588571428571429,0.7600857224058843,2.80774188041687
40,2,30,5,0.001,0.744,0.7357219682434248,2.3748481273651123
40,3,30,5,0.001,0.7510717347813661,0.7514180684971082,2.292945146560669
40,4,30,5,0.001,0.7387825092883681,0.7382410470454777,2.154966115951538
