feature,mean_abs_shap_overall,mean_abs_shap_Benign/Likely benign,mean_abs_shap_Pathogenic/Likely pathogenic
chasmplus_hnsc_pval,0.006229260340256202,0.006229260340256202,0.006229260340256202
chasmplus_lusc_pval,0.006103718462949258,0.006103718462949258,0.006103718462949258
fitcons_fitcons_coding_score,0.006090171300553215,0.006090171300553215,0.006090171300553215
chasmplus_meso_pval,0.005989049065352285,0.005989049065352285,0.005989049065352285
hg19_pos,0.005987096200610289,0.005987096200610289,0.005987096200610289
alfa_total_alt,0.005775012125935391,0.005775012125935391,0.005775012125935391
mutationtaster_score,0.005728991633913368,0.005728991633913368,0.005728991633913368
esm1b_score,0.0056490276437898635,0.0056490276437898635,0.0056490276437898635
allofus250k_gvs_amr_ac,0.005591493626795006,0.005591493626795006,0.005591493626795006
chasmplus_chol_score,0.005577966597922511,0.005577966597922511,0.005577966597922511
sift_med,0.005378440878668746,0.005378440878668746,0.005378440878668746
gnomad3_af_asj,0.005355954746479726,0.005355954746479726,0.005355954746479726
provean_score,0.0053185632418925035,0.0053185632418925035,0.0053185632418925035
metalr_score,0.005196667354470825,0.005196667354470825,0.005196667354470825
mutpred1_mutpred_general_score,0.004837502422582756,0.004837502422582756,0.004837502422582756
sift_seqs,0.004791825065551978,0.004791825065551978,0.004791825065551978
sift_score,0.004777328621379776,0.004777328621379776,0.004777328621379776
dann_score,0.004652630864985177,0.004652630864985177,0.004652630864985177
chasmplus_thym_pval,0.004532576083403044,0.004532576083403044,0.004532576083403044
chasmplus_chol_pval,0.004369342262087278,0.004369342262087278,0.004369342262087278
chasmplus_pval,0.0043447617182893975,0.0043447617182893975,0.0043447617182893975
chasmplus_lihc_pval,0.004066709818251072,0.004066709818251072,0.004066709818251072
cadd_exome_score,0.004046164512390549,0.004046164512390549,0.004046164512390549
chasmplus_kirp_pval,0.0038947312522583776,0.0038947312522583776,0.0038947312522583776
chasmplus_prad_score,0.0038541274502371385,0.0038541274502371385,0.0038541274502371385
allofus250k_gvs_eas_an,0.0034940886187103345,0.0034940886187103345,0.0034940886187103345
genocanyon_rankscore,0.0034385428609466037,0.0034385428609466037,0.0034385428609466037
gerp_gerp_nr,0.0034242403597049584,0.0034242403597049584,0.0034242403597049584
chasmplus_read_pval,0.003209942150677311,0.003209942150677311,0.003209942150677311
fathmm_mkl_fathmm_mkl_coding_score,0.003098876712595697,0.003098876712595697,0.003098876712595697
allofus250k_gvs_eur_an,0.0030406339469430336,0.0030406339469430336,0.0030406339469430336
lrt_lrt_score,0.002898569680345845,0.002898569680345845,0.002898569680345845
chasmplus_stad_pval,0.002870918921381194,0.002870918921381194,0.002870918921381194
chasmplus_cesc_pval,0.00264919138816193,0.00264919138816193,0.00264919138816193
gerp_gerp_rs,0.0025863668614819323,0.0025863668614819323,0.0025863668614819323
chasmplus_ucs_pval,0.002516325574217896,0.002516325574217896,0.002516325574217896
alfa_latin_american_latin1_alt,0.002470813637191039,0.002470813637191039,0.002470813637191039
chasmplus_acc_pval,0.0024210210205899366,0.0024210210205899366,0.0024210210205899366
allofus250k_gvs_afr_an,0.002366681061516171,0.002366681061516171,0.002366681061516171
chasmplus_sarc_pval,0.002357343216541272,0.002357343216541272,0.002357343216541272
chasmplus_luad_pval,0.002347951700481907,0.002347951700481907,0.002347951700481907
chasmplus_laml_score,0.002212447630680043,0.002212447630680043,0.002212447630680043
chasmplus_lihc_score,0.0021872385100452567,0.0021872385100452567,0.0021872385100452567
chasmplus_pcpg_pval,0.002168415835705935,0.002168415835705935,0.002168415835705935
