task,model,group,n_dropped,baseline_f1,ablated_f1,delta
2class,RidgeClassifier,conservation,17,0.9796544854838184,0.9798831908331724,-0.0002287053493540414
2class,KNN,conservation,17,0.9652556162598284,0.9670838415309546,-0.0018282252711262492
2class,QDA,conservation,17,0.965025932927851,0.9659397181472816,-0.0009137852194306406
2class,NearestCentroid,conservation,17,0.8995711777528844,0.9069284634071596,-0.007357285654275181
2class,CosineSimilarity,conservation,17,0.8991136432551754,0.9064692516897214,-0.007355608434545968
2class,HistGradientBoosting,population_af,47,0.9871998495329252,0.9846856342759668,0.0025142152569583853
2class,LinearSVC,population_af,47,0.9867423522050486,0.9865136515806784,0.00022870062437019278
2class,SGDClassifier,population_af,47,0.9846853942417082,0.9858278598830156,-0.0011424656413073775
2class,DecisionTree,population_af,47,0.9821710923109525,0.9821710923109525,0.0
2class,LDA,population_af,47,0.9801116880572156,0.9796544854838184,0.0004572025733972085
2class,RidgeClassifier,population_af,47,0.9796544854838184,0.9796544854838184,0.0
2class,KNN,population_af,47,0.9652556162598284,0.9638843387654772,0.0013712774943511752
2class,QDA,population_af,47,0.965025932927851,0.954044696435269,0.01098123649258198
2class,NearestCentroid,population_af,47,0.8995711777528844,0.9023529840379244,-0.0027818062850399894
2class,CosineSimilarity,population_af,47,0.8991136432551754,0.9023529840379244,-0.0032393407827490117
2class,HistGradientBoosting,functional,4,0.9871998495329252,0.9876570338763088,-0.0004571843433835987
2class,LinearSVC,functional,4,0.9867423522050486,0.9867423522050486,0.0
2class,SGDClassifier,functional,4,0.9846853942417082,0.984456849706984,0.00022854453472420655
2class,DecisionTree,functional,4,0.9821710923109525,0.9821710923109525,0.0
2class,LDA,functional,4,0.9801116880572156,0.9801116880572156,0.0
2class,RidgeClassifier,functional,4,0.9796544854838184,0.9796544854838184,0.0
2class,KNN,functional,4,0.9652556162598284,0.9657131661442008,-0.0004575498843724102
2class,QDA,functional,4,0.965025932927851,0.96388284425436,0.0011430886734909995
2class,NearestCentroid,functional,4,0.8995711777528844,0.8995764708736602,-5.293120775795579e-06
